,BundleName
1,AC
2,AF_L
3,AF_R
4,CC_Fr_1
5,CC_Fr_2
6,CC_Oc
7,CC_Pa
8,CC_Pr_Po
9,CC_Te
10,CG_L
11,CG_L_An
12,CG_L_Po
13,CG_L_curve
14,CG_R
15,CG_R_An
16,CG_R_Po
17,CG_R_curve
18,FAT_L
19,FAT_R
20,FPT_L
21,FPT_L_Brainstem
22,FPT_R
23,FPT_R_Brainstem
24,FX_L
25,FX_R
26,ICP_L
27,ICP_R
28,IFOF_L
29,IFOF_R
30,ILF_L
31,ILF_R
32,MCP
33,MdLF_L
34,MdLF_R
35,OR_ML_L
36,OR_ML_R
37,PC
38,POPT_L
39,POPT_L_Brainstem
40,POPT_R
41,POPT_R_Brainstem
42,PYT_L
43,PYT_L_Brainstem
44,PYT_R
45,PYT_R_Brainstem
46,SCP_L
47,SCP_R
48,SLF_L
49,SLF_R
50,UF_L
51,UF_R
